"State_FIPS_Code","County_FIPS_Code","CHSI_County_Name","CHSI_State_Name","CHSI_State_Abbr","Strata_ID_Number","No_Exercise","CI_Min_No_Exercise","CI_Max_No_Exercise","Few_Fruit_Veg","CI_Min_Fruit_Veg","CI_Max_Fruit_Veg","Obesity","Relative_Obesity","Obesity_Indicator","CI_Min_Obesity","CI_Max_Obesity","CI_Length_Obesity","Relative_CI_Length_Obesity","High_Blood_Pres","CI_Min_High_Blood_Pres","CI_Max_High_Blood_Pres","Smoker","CI_Min_Smoker","CI_Max_Smoker","Diabetes","CI_Min_Diabetes","CI_Max_Diabetes","Uninsured","Elderly_Medicare","Disabled_Medicare","Elderly_Disabled_Medicare_Ratio","Prim_Care_Phys_Rate","Prim_Care_Phys_PCT","Dentist_Rate","Community_Health_Center_Ind","HPSA_Ind"
"01","067","Henry","Alabama","AL","63","","","","","","","","","","","","","","","","","","","","8","1.8","14.2","2556","2583","631","4.093502377179081","18.1","0.0181","30.1","2","2"
"01","069","Houston","Alabama","AL","23","32.9","27.6","38.3","77.7","71.3","84.1","29.5","1.221775492607858","1","24.2","34.9","10.7","0.9221742988789053","34","25.8","42.2","25","19.8","30.1","8.8","5.5","12","14235","9901","2416","4.098096026490066","106.1","0.1061","47.7","1","2"
"01","071","Jackson","Alabama","AL","22","34","27.3","40.7","82.3","75.5","89.2","29.4","1.2176338807685092","1","22.3","36.5","14.2","1.2238200975776128","29.2","19.5","38.9","37","29.5","44.5","6.1","3.1","9.1","7294","7744","1978","3.9150657229524772","70.8","0.0708","29.8","1","2"
"01","073","Jefferson","Alabama","AL","3","29","27.1","31","79.1","76.8","81.4","27.1","1.12237680846349","1","25.2","29.1","3.900000000000002","0.3361196042642741","31.9","29","34.7","23.4","21.5","25.3","9.7","8.5","10.8","87428","89884","21625","4.156485549132948","154.9","0.1549","71.5","1","2"
"01","075","Lamar","Alabama","AL","63","","","","","","","","","","","","","","","","","","","","3.2","0.1","6.3","2237","2648","702","3.7720797720797723","13.4","0.0134","20.1","2","2"
"01","077","Lauderdale","Alabama","AL","21","25.8","21","30.5","77.1","70.2","84.1","23.8","0.9857036177649837","0","19","28.5","9.5","0.8187528821822058","34.7","26.6","42.8","21.1","16.1","26","6.7","4.2","9.2","11424","13168","3134","4.201659221442246","58.2","0.0582","49","1","2"
"01","079","Lawrence","Alabama","AL","32","31.9","22.9","40.9","85.2","76.5","93.9","19.9","0.8241807560303855","0","12.6","27.1","14.500000000000002","1.2496754517517878","","","","28.5","19.4","37.5","9.2","4.3","14.1","5396","3526","1074","3.283054003724395","28.9","0.0289","8.7","1","1"
"01","081","Lee","Alabama","AL","22","25.9","21.1","30.6","74.9","68","81.8","21.7","0.8987297691386616","0","16.9","26.5","9.600000000000001","0.8273713335735975","24.5","18","31.1","27.1","21.7","32.6","7.8","5.3","10.4","17335","9041","2465","3.6677484787018257","63.3","0.0633","26","1","2"
"01","083","Limestone","Alabama","AL","19","30.4","23.8","37.1","79.5","71.5","87.6","26","1.0768190782306546","1","18.3","33.7","15.400000000000002","1.3272415142743126","","","","25","18.4","31.7","8.1","4.5","11.8","8934","7024","1778","3.9505061867266593","39.7","0.039700000000000006","15.6","1","2"
"01","085","Lowndes","Alabama","AL","66","","","","","","","","","","","","","","","","","","","","9.6","1.4","17.7","2951","1326","507","2.6153846153846154","15.3","0.015300000000000001","7.6","1","2"
"01","087","Macon","Alabama","AL","44","","","","","","","","","","","","","","","","","15.7","7.4","24","13.6","6.7","20.6","4325","2862","781","3.6645326504481432","26.3","0.0263","21.9","1","1"
"01","089","Madison","Alabama","AL","4","22.9","20","25.7","75.6","71.7","79.6","23.1","0.9567123348895431","0","20","26.1","6.100000000000001","0.5257255348748902","24.9","20.2","29.6","21.3","18.4","24.2","6.5","4.9","8.1","35743","32428","5431","5.97090775179525","95.2","0.0952","46.6","1","2"
