State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,Relative_Obesity,Obesity_Indicator,CI_Min_Obesity,CI_Max_Obesity,CI_Length_Obesity,Relative_CI_Length_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Elderly_Disabled_Medicare_Ratio,Prim_Care_Phys_Rate,Prim_Care_Phys_PCT,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
51,147,Prince Edward,Virginia,VA,73,27.6,17.8,37.5,,,,21.1,0.873880098,0,12.9,29.4,16.5,1.42204448,,,,,,,5.3,1.5,9.1,2297,3001,650,4.616923077,88,0.088,24.4,1,2
51,149,Prince George,Virginia,VA,25,17.2,10.8,23.6,,,,19.8,0.820039144,0,12.6,27.1,14.5,1.249675452,22.4,13.9,30.9,22.5,14.6,30.3,6,1.9,10.2,3459,1923,433,4.441108545,19.1,0.0191,8.2,1,2
51,153,Prince William,Virginia,VA,9,21.9,18.1,25.6,71.8,66.1,77.5,23.5,0.973278782,0,19.9,27.1,7.2,0.6205285,24,19.9,28,20.6,17,24.2,7.3,5,9.5,35630,12655,2015,6.280397022,44.5,0.0445,25.8,2,2
51,155,Pulaski,Virginia,VA,30,40.2,31.2,49.1,80.4,71.7,89,31.9,1.321174177,1,23.1,40.8,17.7,1.525465896,34.9,24.9,44.9,32.5,23.7,41.4,8.3,4.8,11.9,3674,5040,1485,3.393939394,59.9,0.0599,22.8,2,2
51,157,Rappahannock,Virginia,VA,37,,,,,,,,,,,,,,,,,,,,,,,623,1236,169,7.313609467,41.3,0.0413,0,2,2
51,159,Richmond,Virginia,VA,41,,,,,,,26,1.076819078,1,17.1,34.9,17.8,1.534084348,26.5,17.5,35.5,14.8,7.5,22.1,10.5,4.8,16.2,961,1420,236,6.016949153,0,0,21.9,2,2
51,161,Roanoke,Virginia,VA,18,20.3,15.5,25,70.3,63.3,77.3,19.2,0.795189473,0,14.4,23.9,9.5,0.818752882,30.9,25,36.8,13.2,9.1,17.3,9.4,5.9,12.8,5656,5599,878,6.376993166,112.3,0.1123,38.6,1,2
51,163,Rockbridge,Virginia,VA,37,,,,,,,21.3,0.882163322,0,11.9,30.6,18.7,1.61165041,,,,,,,8.9,2.9,15,1727,2004,386,5.191709845,14.1,0.0141,0,2,2
51,165,Rockingham,Virginia,VA,18,26.5,20.4,32.5,72.1,63.3,80.9,20.9,0.865596874,0,15.2,26.5,11.3,0.973885007,24.2,18.1,30.4,21.5,16,27.1,4.1,1.6,6.5,6935,8016,1225,6.543673469,26.7,0.0267,19.6,2,2
51,167,Russell,Virginia,VA,52,29.9,22.2,37.6,76.9,67.5,86.3,29.8,1.234200328,1,21.4,38.2,16.8,1.447899834,36.3,27.4,45.1,28.6,21,36.2,7.7,3.7,11.6,3941,3502,2147,1.631113181,31.1,0.0311,13.8,1,1
51,169,Scott,Virginia,VA,64,34.3,26,42.6,,,,28.2,1.167934539,1,20,36.5,16.5,1.42204448,35.7,26.6,44.9,29.2,20.9,37.4,9,5.3,12.8,2653,3993,1325,3.013584906,34.8,0.0348,13.1,1,1
51,171,Shenandoah,Virginia,VA,30,,,,,,,,,,,,,,,,,19.7,12.4,26.9,8.5,4,12.9,3596,6296,747,8.428380187,58.7,0.0587,30.6,2,2
51,173,Smyth,Virginia,VA,50,31.2,22.4,40,,,,22.8,0.944287499,0,14.2,31.4,17.2,1.482373639,,,,,,,6.1,2.7,9.5,3865,5406,1753,3.083856246,55.1,0.0551,33.7,1,2
51,175,Southampton,Virginia,VA,39,,,,,,,,,,,,,,,,,,,,10,4.1,15.9,2055,1903,394,4.829949239,5.7,0.0057,11.4,1,2
51,177,Spotsylvania,Virginia,VA,46,22.7,17.6,27.8,73.7,65.5,81.8,21.3,0.882163322,0,15.8,26.9,11.1,0.956648104,21.8,16.6,27,21.8,16.5,27.2,6.3,3.5,9.2,10193,4311,884,4.876696833,44.6,0.0446,23.2,2,2
51,179,Stafford,Virginia,VA,46,21.9,16.8,27.1,78.7,71.9,85.5,23.3,0.964995559,0,17.6,28.9,11.3,0.973885007,23.3,17.6,29.1,19.2,14.3,24.2,4.8,2.3,7.4,10379,4246,705,6.022695035,29.7,0.0297,17,2,2
51,181,Surry,Virginia,VA,63,,,,,,,,,,,,,,,,,,,,,,,981,828,179,4.625698324,14.3,0.0143,0,2,1
51,183,Sussex,Virginia,VA,71,,,,,,,,,,,,,,,,,,,,,,,1486,1836,417,4.402877698,8.3,0.0083,8.3,1,1
51,185,Tazewell,Virginia,VA,50,30.9,24.5,37.4,79.2,71.7,86.8,25.9,1.072677466,1,19.9,32,12.1,1.042832618,34.5,26.6,42.3,26.3,20.2,32.3,8.9,4.1,13.6,5533,7306,3618,2.019347706,109.4,0.1094,31.3,1,2
51,187,Warren,Virginia,VA,25,28.1,19,37.2,,,,25.2,1.043686184,1,15.7,34.6,18.9,1.628887313,19.6,11.5,27.7,32,22.4,41.6,10.1,4,16.2,3344,3750,593,6.323777403,36.6,0.0366,19.7,2,2
51,191,Washington,Virginia,VA,21,30.2,23,37.3,77.8,69.7,85.8,24.1,0.998128453,0,17.3,30.9,13.6,1.172109389,27.7,20.5,34.8,24.1,17.6,30.5,8.9,4.5,13.2,5261,6679,2030,3.290147783,86.4,0.0864,34.6,1,2
51,193,Westmoreland,Virginia,VA,65,,,,,,,,,,,,,,,,,,,,8.5,2.3,14.7,2695,2995,420,7.130952381,11.6,0.0116,11.6,1,2
51,195,Wise,Virginia,VA,32,32.8,25.8,39.7,79.5,72.2,86.9,31.4,1.300466118,1,24.2,38.7,14.5,1.249675452,34.2,26.2,42.3,28.3,21.4,35.2,14.6,9.4,19.9,5811,5623,3223,1.744647844,69.1,0.0691,16.7,1,2
51,197,Wythe,Virginia,VA,49,35.2,25.6,44.8,,,,25.2,1.043686184,1,16.8,33.6,16.8,1.447899834,18.3,10.6,26,32.4,23.1,41.7,7.7,3.1,12.2,3012,4606,1424,3.234550562,70.4,0.0704,38.7,1,2
51,199,York,Virginia,VA,17,17.4,9.2,25.5,,,,16.7,0.691649177,0,9.8,23.6,13.8,1.189346292,21.4,12.7,30.1,10.9,4.6,17.1,6.2,1.9,10.5,5910,8085,825,9.8,111.7,0.1117,59.9,2,2
51,510,Alexandria City,Virginia,VA,11,18.6,14.6,22.7,67.6,57.6,77.6,15.9,0.658516282,0,12.5,19.4,6.9,0.594673146,18.4,11,25.8,18.6,14.3,22.9,7.6,0.7,14.5,17104,18039,1657,10.88654194,120.4,0.1204,65.8,1,2
51,515,Bedford City,Virginia,VA,41,,,,,,,,,,,,,,,,,,,,,,,673,2981,554,5.380866426,0,0,112.7,2,2
51,520,Bristol City,Virginia,VA,41,,,,,,,,,,,,,,,,,,,,13.7,3.8,23.5,2165,4619,1004,4.60059761,5.8,0.0058,34.6,1,2
51,530,Buena Vista City,Virginia,VA,60,,,,,,,,,,,,,,,,,,,,,,,585,1229,299,4.110367893,46.6,0.0466,77.7,2,2
51,540,Charlottesville City,Virginia,VA,32,18.6,10.4,26.9,,,,11.7,0.484568585,0,6.1,17.4,11.3,0.973885007,21.2,12.9,29.5,14.2,7.8,20.7,6.8,2.3,11.3,4986,6402,1113,5.752021563,581.2,0.5812,89,2,2
51,550,Chesapeake City,Virginia,VA,12,21,17.7,24.4,78.5,73.7,83.2,22.7,0.940145888,0,19,26.4,7.4,0.637765403,22.1,18.4,25.7,22.1,18.2,26.1,5.5,3.9,7.1,23324,18321,3558,5.149241147,101.4,0.1014,36.5,1,2
51,570,Colonial Heights City,Virginia,VA,37,,,,,,,,,,,,,,,,,,,,9.9,1,18.8,1415,3482,458,7.602620087,125.2,0.1252,108.2,2,2
51,580,Covington City,Virginia,VA,40,,,,,,,,,,,,,,,,,,,,,,,727,2461,596,4.129194631,80.6,0.0806,48.3,2,2
51,590,Danville City,Virginia,VA,35,36.8,29.5,44,75,66.2,83.8,29.3,1.213492269,1,22.4,36.3,13.9,1.197964743,31.1,23.7,38.5,26.6,19.8,33.4,13.8,8.3,19.3,7390,10822,2434,4.446179129,114.9,0.1149,73.7,1,2
51,595,Emporia City,Virginia,VA,41,,,,,,,,,,,,,,,,,,,,,,,914,1570,384,4.088541667,0,0,71.6,1,2
51,600,Fairfax City,Virginia,VA,37,,,,,,,,,,,,,,,,,,,,,,,2719,9633,838,11.49522673,259.5,0.2595,377.9,2,2
51,610,Falls Church City,Virginia,VA,37,,,,,,,,,,,,,,,,,,,,,,,1332,2821,155,18.2,315.4,0.3154,213.3,2,2
51,620,Franklin City,Virginia,VA,41,,,,,,,,,,,,,,,,,,,,10.9,2.8,19,1319,2019,443,4.557562077,197.8,0.1978,69.8,2,2
51,630,Fredericksburg City,Virginia,VA,41,15,6.8,23.3,,,,24,0.993986841,0,14,34,20,1.723690278,16.3,7.4,25.1,,,,3.7,0.8,6.6,2252,7782,1342,5.79880775,207.4,0.2074,101.3,2,2
51,640,Galax City,Virginia,VA,41,,,,,,,,,,,,,,,,,,,,6.1,0,13.1,1142,2774,649,4.274268105,284.6,0.2846,164.8,2,2
51,650,Hampton City,Virginia,VA,14,24.5,20.5,28.6,75.6,70.2,81,23.8,0.985703618,0,20,27.6,7.6,0.655002306,24.6,20.4,28.8,21.5,17.8,25.1,6.9,4.9,9,19461,15615,2966,5.264666217,52.2,0.0522,48.8,1,2
51,660,Harrisonburg City,Virginia,VA,32,20.5,10.4,30.5,,,,14.7,0.60881694,0,6.2,23.3,17.1,1.473755188,,,,11.1,1.5,20.7,1.9,0,4.5,5404,4040,469,8.614072495,168.2,0.1682,76.7,2,2
51,670,Hopewell City,Virginia,VA,42,31.6,21.6,41.5,,,,25.8,1.068535855,1,16,35.7,19.7,1.697834924,,,,31.2,21.5,40.9,9.9,4.5,15.3,3553,3416,717,4.764295676,92.6,0.0926,57.3,1,2
51,678,Lexington City,Virginia,VA,41,,,,,,,,,,,,,,,,,,,,,,,319,2513,314,8.003184713,324.7,0.3247,132.8,2,2
51,680,Lynchburg City,Virginia,VA,24,19.7,14.1,25.4,73.4,65.3,81.6,24,0.993986841,0,18.2,29.9,11.7,1.008358813,28.3,21.1,35.5,27.6,20.9,34.4,9.2,5.3,13.2,7774,12291,2675,4.594766355,158.3,0.1583,89.6,1,2
51,683,Manassas City,Virginia,VA,27,13.2,5.4,21,,,,16.6,0.687507565,0,8,25.3,17.3,1.490992091,19.7,10.2,29.2,21.3,11.7,30.9,10.3,3.4,17.2,4675,5452,1030,5.293203883,149.1,0.1491,53.2,2,2
51,685,Manassas Park City,Virginia,VA,57,,,,,,,,,,,,,,,,,,,,,,,1480,11,,,0,0,17.2,2,2
51,690,Martinsville City,Virginia,VA,41,,,,,,,,,,,,,,,,,,,,2.8,0.3,5.3,2141,5260,1261,4.171292625,234.5,0.2345,140.7,2,2
51,700,Newport News City,Virginia,VA,6,21.5,17.2,25.9,75.4,69,81.8,26,1.076819078,1,21.1,30.8,9.7,0.835989785,24.7,20,29.4,28.5,23.1,33.9,8.5,5.7,11.2,27552,17836,3666,4.865248227,91.2,0.0912,59.5,1,2
51,710,Norfolk City,Virginia,VA,6,23,19.5,26.6,75.1,70.1,80,24.9,1.031261348,1,21,28.7,7.7,0.663620757,26.5,22.5,30.6,21,17.4,24.6,6.6,4.6,8.6,41142,22937,4748,4.830876158,140.5,0.1405,46.1,1,2
51,720,Norton City,Virginia,VA,41,,,,,,,,,,,,,,,,,,,,,,,538,945,457,2.067833698,571.1,0.5711,54.4,2,2
